datetime,open,high,low,close,volume
2018-01-01 13:08:00,41.41,41.425,41.41,41.42,3698
2018-01-01 13:09:00,41.4,41.41,41.4,41.4,1781
2018-01-01 13:10:00,41.4127,41.4127,41.4,41.41,1573
2018-01-01 13:11:00,41.405,41.405,41.4,41.4,400
2018-01-01 13:12:00,41.4,41.4,41.4,41.4,72
2018-01-01 13:13:00,41.41,41.41,41.4,41.41,2037
2018-01-01 13:14:00,41.41,41.41,41.41,41.41,100
2018-01-01 13:15:00,41.4,41.42,41.4,41.41,900
2018-01-01 13:16:00,41.4,41.42,41.4,41.42,1966
2018-01-01 13:17:00,41.419,41.42,41.41,41.415,1248
2018-01-01 13:18:00,41.42,41.47,41.42,41.45,8081
2018-01-01 13:19:00,41.45,41.45,41.45,41.45,1167
2018-01-01 13:20:00,41.45,41.46,41.45,41.46,699
2018-01-01 13:21:00,41.45,41.46,41.44,41.45,2143
2018-01-01 13:22:00,41.4799,41.48,41.47,41.48,208
2018-01-01 13:23:00,41.465,41.48,41.45,41.46,2642
2018-01-01 13:24:00,41.46,41.47,41.45,41.47,3000
2018-01-01 13:25:00,41.47,41.47,41.47,41.47,1098
2018-01-01 13:26:00,41.46,41.4737,41.46,41.4737,800
2018-01-01 13:27:00,41.4601,41.48,41.4601,41.48,429
2018-01-01 13:28:00,41.4799,41.4799,41.44,41.44,2704
2018-01-01 13:29:00,41.4498,41.4498,41.425,41.44,3193
2018-01-01 13:30:00,41.4555,41.4555,41.44,41.445,800
2018-01-01 13:31:00,41.45,41.45,41.44,41.44,2026
2018-01-01 13:32:00,41.4499,41.46,41.44,41.44,2126
2018-01-01 13:33:00,41.46,41.47,41.45,41.45,1188
2018-01-01 13:34:00,41.442,41.46,41.44,41.46,1201
2018-01-01 13:35:00,41.45,41.46,41.45,41.46,1200
2018-01-01 13:36:00,41.46,41.465,41.44,41.44,3248
2018-01-01 13:37:00,41.44,41.46,41.44,41.445,1426
2018-01-01 13:38:00,41.45,41.46,41.44,41.445,2241
2018-01-01 13:39:00,41.44,41.45,41.435,41.45,900
2018-01-01 13:40:00,41.4497,41.45,41.43,41.45,1677
2018-01-01 13:41:00,41.45,41.45,41.44,41.44,1100
2018-01-01 13:42:00,41.44,41.46,41.43,41.46,2318
2018-01-01 13:43:00,41.47,41.47,41.46,41.465,1413
2018-01-01 13:44:00,41.46,41.47,41.46,41.47,1631
2018-01-01 13:45:00,41.46,41.46,41.45,41.45,1200
2018-01-01 13:46:00,41.45,41.45,41.41,41.415,3248
2018-01-01 13:47:00,41.415,41.42,41.41,41.41,1079
2018-01-01 13:48:00,41.41,41.42,41.41,41.42,795
2018-01-01 13:49:00,41.42,41.42,41.41,41.41,1208
2018-01-01 13:50:00,41.42,41.422,41.411,41.42,1213
2018-01-01 13:51:00,41.42,41.43,41.42,41.43,519
2018-01-01 13:52:00,41.425,41.425,41.41,41.41,4196
2018-01-01 13:53:00,41.41,41.42,41.41,41.41,1483
2018-01-01 13:54:00,41.41,41.42,41.41,41.415,2617
2018-01-01 13:55:00,41.42,41.43,41.42,41.42,400
2018-01-01 13:56:00,41.43,41.465,41.43,41.46,3063
2018-01-01 13:57:00,41.46,41.475,41.46,41.47,1011
2018-01-01 13:58:00,41.45,41.455,41.45,41.455,400
2018-01-01 13:59:00,41.455,41.4732,41.455,41.47,2575
2018-01-01 14:00:00,41.4336,41.48,41.4336,41.47,3817
2018-01-01 14:01:00,41.46,41.47,41.46,41.47,2767
2018-01-01 14:02:00,41.47,41.48,41.45,41.47,6132
2018-01-01 14:03:00,41.47,41.475,41.46,41.46,2833
2018-01-01 14:04:00,41.45,41.47,41.45,41.47,1300
2018-01-01 14:05:00,41.46,41.49,41.46,41.48,5699
2018-01-01 14:06:00,41.48,41.5,41.48,41.5,1595
2018-01-01 14:07:00,41.5,41.5,41.49,41.5,1900
2018-01-01 14:08:00,41.5,41.52,41.5,41.515,5663
2018-01-01 14:09:00,41.52,41.535,41.515,41.535,2542
2018-01-01 14:10:00,41.53,41.54,41.53,41.535,1305
2018-01-01 14:11:00,41.5399,41.55,41.5399,41.55,1771
2018-01-01 14:12:00,41.55,41.56,41.53,41.53,5304
2018-01-01 14:13:00,41.5301,41.54,41.5301,41.535,502
2018-01-01 14:14:00,41.54,41.54,41.54,41.54,396
2018-01-01 14:15:00,41.535,41.54,41.53,41.54,2800
2018-01-01 14:16:00,41.54,41.5499,41.54,41.5456,1245
2018-01-01 14:17:00,41.55,41.55,41.54,41.54,969
2018-01-01 14:18:00,41.54,41.56,41.53,41.55,3629
2018-01-01 14:19:00,41.54,41.55,41.53,41.53,2200
2018-01-01 14:20:00,41.54,41.55,41.53,41.55,5355
2018-01-01 14:21:00,41.54,41.54,41.53,41.53,997
2018-01-01 14:22:00,41.525,41.525,41.51,41.525,4306
2018-01-01 14:23:00,41.52,41.53,41.51,41.5169,2471
2018-01-01 14:24:00,41.515,41.52,41.514,41.52,1035
2018-01-01 14:25:00,41.51,41.53,41.51,41.525,6176
2018-01-01 14:26:00,41.521,41.54,41.521,41.525,3591
2018-01-01 14:27:00,41.52,41.53,41.52,41.53,1236
2018-01-01 14:28:00,41.525,41.53,41.525,41.53,400
2018-01-01 14:29:00,41.53,41.53,41.525,41.53,1003
